subseg_id,seg_id_nat,date,site_id,source,time,mean_temp_c,min_temp_c,max_temp_c,sd_mean_temp_c,flag,in_time_holdout,in_space_holdout,test
122_1,1556,2022-01-01,USGS-01423000,nwis_dv,NA,5.7,5.1,6.2,NA,P,FALSE,FALSE,FALSE
124_1,1558,2022-01-01,USGS-01425805,nwis_dv,NA,5.3,4.7,5.8,NA,P,FALSE,FALSE,FALSE
1252_1,2686,2022-01-01,USGS-01483700,nwis_dv,NA,8.7,8.2,9.4,NA,P,FALSE,FALSE,FALSE
1260_1,2694,2022-01-01,USGS-01484100,nwis_dv,NA,12.6,11.7,13.3,NA,P; o,FALSE,FALSE,FALSE
131_1,1565,2022-01-01,"NYDEC-West Branch Delaware River S4, NYDEC-West Branch Delaware River S5, NYDEC-West Branch Delaware River S6",ecosheds,NA,5.5,5,5.8,0.2,NA,FALSE,FALSE,FALSE
132_1,1566,2022-01-01,USGS-01425000,nwis_dv,NA,5.7,5.6,5.8,NA,P,FALSE,FALSE,FALSE
134_1,1568,2022-01-01,USGS-01428500,nwis_dv,NA,5.5,5.1,5.9,NA,P,FALSE,FALSE,FALSE
135_1,1569,2022-01-01,USGS-01428000,nwis_dv,NA,5,4.7,5.3,NA,P,FALSE,FALSE,FALSE
136_1,1570,2022-01-01,USGS-01427500,nwis_dv,NA,6.1,5.8,6.5,NA,P,FALSE,FALSE,FALSE
137_1,1571,2022-01-01,USGS-01427000,nwis_dv,NA,5.8,5.4,6.1,NA,P,FALSE,FALSE,FALSE
139_1,1573,2022-01-01,USGS-01427207,nwis_dv,NA,5.8,5.5,6.1,NA,P,FALSE,FALSE,FALSE
140_1,1574,2022-01-01,NYDEC-Delaware River D2,ecosheds,NA,5.6,5.4,5.8,NA,NA,FALSE,FALSE,FALSE
141_1,1575,2022-01-01,USGS-01427195,nwis_dv,NA,5.1,4.6,5.5,NA,P,FALSE,FALSE,FALSE
144_1,1578,2022-01-01,USGS-01427510,nwis_dv,NA,5.8,5.4,6.1,NA,P,FALSE,TRUE,TRUE
15_1,1449,2022-01-01,USGS-01417000,nwis_dv,NA,6.8,6.7,7,NA,P,FALSE,FALSE,FALSE
152_1,1586,2022-01-01,USGS-01428750,nwis_dv,NA,5.5,5.1,6.1,NA,P,FALSE,FALSE,FALSE
154_1,1588,2022-01-01,USGS-01429000,nwis_dv,NA,3.6,3.6,3.8,NA,NA,FALSE,FALSE,FALSE
158_1,1592,2022-01-01,"USGS-01432055, USGS-01432110",nwis_dv,NA,5.4,4.4,5.9,0.1,P,FALSE,FALSE,FALSE
16_1,1450,2022-01-01,USGS-01417500,nwis_dv,NA,6.4,6,6.7,NA,P,FALSE,FALSE,FALSE
167_1,1601,2022-01-01,USGS-01431500,nwis_dv,NA,5.3,5,5.7,NA,NA,FALSE,FALSE,FALSE
2_1,1436,2022-01-01,USGS-01413398,nwis_uv,NA,4.9,4.4,5.7,NA,P,FALSE,FALSE,FALSE
200_1,1634,2022-01-01,USGS-01434021,nwis_dv,NA,3.5,3,3.9,NA,P,FALSE,FALSE,FALSE
202_1,1636,2022-01-01,USGS-01434017,nwis_dv,NA,4,3.7,4.3,NA,P,FALSE,FALSE,FALSE
203_1,1637,2022-01-01,USGS-01434498,nwis_dv,NA,4.5,4.1,4.9,NA,P,FALSE,FALSE,FALSE
204_1,1638,2022-01-01,USGS-01436000,nwis_dv,NA,5.3,5.2,5.4,NA,NA,FALSE,FALSE,FALSE
206_1,1640,2022-01-01,USGS-01433005,nwis_dv,NA,4.4,4.4,4.5,NA,P,FALSE,FALSE,FALSE
207_1,1641,2022-01-01,USGS-01436690,nwis_dv,NA,5.8,5.6,6,NA,P,FALSE,FALSE,FALSE
208_1,1642,2022-01-01,USGS-01434025,nwis_dv,NA,3.5,3.1,3.9,NA,P,FALSE,FALSE,FALSE
21_1,1455,2022-01-01,USGS-01419500,nwis_dv,NA,4.6,4.2,4.9,NA,P,FALSE,TRUE,TRUE
210_1,1644,2022-01-01,USGS-0143400680,nwis_dv,NA,3.6,3.2,3.8,NA,P,FALSE,FALSE,FALSE
211_1,1645,2022-01-01,USGS-01435000,nwis_dv,NA,4.6,4.3,4.9,NA,P,FALSE,FALSE,FALSE
212_1,1646,2022-01-01,"USGS-01437100, USGS-01437349",nwis_dv,NA,5.8,5,6.5,0.5,P,FALSE,FALSE,FALSE
2126_1,3560,2022-01-01,USGS-01411456,nwis_uv,NA,10.3,10,10.7,NA,P; o,FALSE,FALSE,FALSE
213_1,1647,2022-01-01,USGS-01433500,nwis_dv,NA,4.3,4,4.5,NA,P,FALSE,FALSE,FALSE
2136_1,3570,2022-01-01,USGS-01411500,nwis_dv,NA,10.1,9.5,10.7,NA,P; o,FALSE,TRUE,TRUE
